tr, amp, labels
92.0427,12406.7,carbon
93.0107,7813.79,carbon
99.7899,8146.4,carbon
95.9419,3929.49,carbon
125.291,13306.8,carbon
106.091,11658.3,carbon
100.057,9746.37,carbon
88.0992,8541.72,carbon
106.059,5073.47,carbon
96.3647,6682.75,carbon
97.0679,10505.8,carbon
219.266,8798.81,alpha
98.6747,14408.5,carbon
101.849,7279.65,carbon
102.963,10368.8,carbon
93.7881,6672.02,carbon
97.2348,10363.1,carbon
222.808,10707,alpha
98.6232,11688.5,carbon
169.762,20384.4,2alphas
195.911,9403.2,alpha
93.8165,8660.08,carbon
105.045,5971.63,carbon
86.8125,9422.97,carbon
166.582,10609.4,alpha
94.7932,10511.9,carbon
94.2681,10882.8,carbon
101.919,7529.25,carbon
205.548,10417,alpha
97.3302,10449,carbon
99.9278,4935.03,carbon
96.5236,4284.36,carbon
87.0557,7671.47,carbon
104.694,4454.4,carbon
217.674,10141.4,alpha
217.535,9028.95,alpha
96.2741,8969.1,carbon
97.4246,6395.16,carbon
189.135,7927.03,alpha
95.1825,8849.47,carbon
97.3219,6412.8,carbon
175.389,9769.21,alpha
212.443,10013.2,alpha
192.365,8665.13,alpha
94.8179,5024.43,carbon
108.441,7249.63,carbon
96.8425,9017.54,carbon
99.6768,9052.14,carbon
183.593,9981.24,alpha
109.488,3652.62,carbon
102.4,7952.2,carbon
96.567,12143.7,carbon
100.179,5309.96,carbon
90.5871,6230.9,carbon
91.8237,5995.94,carbon
96.4062,9127.91,carbon
94.4167,7609.02,carbon
95.3577,5007.37,carbon
96.6738,13150.6,carbon
204.524,10447.4,alpha
214.209,9860.78,alpha
94.5403,13618.7,carbon
139.399,9744.59,alpha
197.889,9823.87,alpha
104.669,3833.38,carbon
98.5618,6215.14,carbon
97.5881,15492.4,carbon
212.17,10149,alpha
176.041,4066.42,alpha
89.0847,3453.33,carbon
103.674,23024.3,carbon
104.244,9907,carbon
108.768,8416.81,carbon
91.9111,8366.45,carbon
118.039,5684.77,carbon
91.9217,5489.76,carbon
99.4894,6089.5,carbon
193.105,10312.2,alpha
96.9512,4140.16,carbon
92.5422,5933.75,carbon
94.3995,3593.52,carbon
104.086,4288.63,carbon
101.048,7139.28,carbon
92.5231,10928.8,carbon
96.8189,11714.2,carbon
93.4495,8639.35,carbon
111.869,4621.75,carbon
91.454,4901.17,carbon
101.052,6049.54,carbon
167.007,9702.35,alpha
170.968,10005.3,alpha
105.285,7713.23,carbon
95.0695,5068.72,carbon
96.168,13744,carbon
96.7063,18209.9,carbon
86.6481,11361.8,carbon
94.5059,8224.1,carbon
100.054,24918.2,carbon
212.643,8392.15,alpha
92.5786,5423.28,carbon
220.954,9764.43,alpha
94.3856,4338.98,carbon
96.6898,5369.68,carbon
104.891,5248.54,carbon
97.6557,5278.66,carbon
203,10695.9,alpha
96.3445,3964,carbon
101.797,5601.86,carbon
93.4094,25123.5,carbon
151.588,10212.2,alpha
126.876,4972.41,carbon
93.6497,6476.76,carbon
96.4109,8405.16,carbon
103.495,10483.1,carbon
100.424,7458.69,carbon
94.3391,11342.6,carbon
105.793,6464.36,carbon
103.853,6611.63,carbon
82.835,3764.49,carbon
96.7552,6021.6,carbon
104.994,5721.72,carbon
113.806,5105.01,carbon
96.0243,9016.19,carbon
92.0726,9641.41,carbon
99.3515,7342.57,carbon
90.8626,11124.4,carbon
99.0145,11107.9,carbon
98.7687,15982,carbon
193.739,10822.7,alpha
89.4237,9233.81,carbon
248.394,10157.5,alpha
92.3903,7204.63,carbon
109.992,5650.79,carbon
108.084,3660.95,carbon
96.3638,6142.69,carbon
92.6138,12168.6,carbon
101.6,11362.4,carbon
92.4324,7181.51,carbon
107.614,8531.91,carbon
91.3574,7948.77,carbon
109.936,5631.85,carbon
97.9663,6077.38,carbon
103.067,5620.88,carbon
102.577,8794.44,carbon
105.845,9939.1,carbon
100.979,10308.2,carbon
97.9599,4992.83,carbon
101.767,6827.35,carbon
95.4525,5696.99,carbon
94.5955,5024.63,carbon
99.951,11353.7,carbon
91.1678,8577.42,carbon
209.52,11511.7,alpha
97.7124,8715.64,carbon
100.706,9194.65,carbon
96.3196,7025.9,carbon
205.706,8821.51,alpha
97.9846,6189.93,carbon
95.1186,5710.58,carbon
95.1765,7935.09,carbon
99.4611,9739.2,carbon
101.524,3615.46,carbon
196.962,9830.8,alpha
87.4733,6623.39,carbon
104.57,5034.78,carbon
100.262,6304.07,carbon
90.826,3740.83,carbon
193.885,8846.33,alpha
91.3768,3984.94,carbon
90.2019,4465.06,carbon
97.2986,12270.6,carbon
101.367,6920.17,carbon
104.529,5263.26,carbon
97.0826,7870.89,carbon
85.8333,8720.05,carbon
98.7772,6355.45,carbon
94.2758,5795.85,carbon
87.7747,7409.52,carbon
90.828,10691.4,carbon
97.9959,14967.2,carbon
115.876,6872.87,carbon
205.908,9397.65,alpha
95.0994,4886.86,carbon
94.0588,8176.15,carbon
104.119,8289.34,carbon
102.733,13147.5,carbon
96.915,8394.69,carbon
107.218,5544.55,carbon
188.009,9065.7,alpha
98.5127,15122.5,carbon
89.6884,5885.82,carbon
101.438,5034.18,carbon
84.5327,5840.35,carbon
195.558,9615.84,alpha
204.96,10299.6,alpha
94.0177,11163.8,carbon
98.5017,12426.7,carbon
146.299,9772.29,alpha
96.5267,12030.8,carbon
92.2311,4686.71,carbon
173.807,11434,alpha
100.865,8830.81,carbon
92.8291,7913.28,carbon
107.625,4565.9,carbon
184.516,9808.94,alpha
100.945,9366.47,carbon
102.67,6603.23,carbon
101.707,12811.1,carbon
100.74,7111.01,carbon
102.743,5781.04,carbon
100.33,15626.1,carbon
104.428,9443.36,carbon
103.152,15714.6,carbon
97.4713,7075.38,carbon
214.695,10743.2,alpha
95.352,9514.34,carbon
145.638,10384.9,alpha
94.2639,9568.73,carbon
189.676,10121.5,alpha
219.933,10318.2,alpha
94.1755,4311.23,carbon
100.292,6528.49,carbon
150.49,10123.1,alpha
102.542,16120.5,carbon
96.1018,4713.92,carbon
172.492,9731.97,alpha
199.3,8725.24,alpha
103.621,15814.9,carbon
96.9484,3454.06,carbon
94.785,5840.95,carbon
96.279,6976.56,carbon
96.6556,12147.3,carbon
95.1814,9135.08,carbon
104.766,4877.99,carbon
93.0715,3526.05,carbon
100.299,11617.5,carbon
109.07,5680.73,carbon
98.8497,10926.5,carbon
97.5316,8874.8,carbon
227.24,8778.99,alpha
94.3886,9189.96,carbon
96.3091,12473.2,carbon
100.683,4706.52,carbon
108.331,4894.18,carbon
107.065,7545.24,carbon
184.979,7199.07,alpha
99.7738,4527.24,carbon
100.174,9243.26,carbon
101.902,12121.4,carbon
96.6529,8524.8,carbon
96.1543,4110.5,carbon
99.4749,8007.87,carbon
100.062,4148.13,carbon
98.2897,6451.72,carbon
103.799,6629.49,carbon
80.3098,12688,carbon
100.512,4159.87,carbon
97.7618,9017.76,carbon
170.469,10946.3,alpha
193.722,7094.85,alpha
101.34,8643.93,carbon
105.228,7828.24,carbon
100.427,8135.43,carbon
94.1466,15663.9,carbon
93.8553,4644.71,carbon
110.2,7684.85,carbon
101.488,9098.5,carbon
100.404,10236.2,carbon
98.3765,30363.9,carbon
105.858,8394.01,carbon
95.3272,4418.2,carbon
98.4316,7512.42,carbon
203.215,9902.99,alpha
90.0482,6602.09,carbon
105.659,7395.32,carbon
105.459,4055.27,carbon
91.4878,18448.2,carbon
96.1435,6269.2,carbon
95.4341,15418.1,carbon
209.737,9822.67,alpha
99.8647,15789,carbon
